model_condition,stratum,level,metric,n,mean,std,median,min,p10,p25,p75,p90,p95,max,positive,zero,negative,trimmed_mean_10pct,trimmed_mean_20pct,mean_drop_largest_1,mean_drop_largest_abs_1,mean_drop_largest_2,mean_drop_largest_abs_2,mean_drop_largest_5,mean_drop_largest_abs_5
deepseek_formal,soc_gap_direction,canonical_higher,alignment_total_violation_energy,23,10845.13729977117,52011.45133689716,0.0,0.0,0.0,0.0,0.0,0.0,0.0,249438.15789473688,1,22,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
deepseek_formal,soc_gap_direction,canonical_lower,ED_kwh,37,1597.972972972973,4684.594945649496,0.0,0.0,0.0,0.0,0.0,6249.999999999995,11500.0,23000.0,5,32,0,423.38709677419354,0.0,1003.4722222222222,1003.4722222222222,703.5714285714286,703.5714285714286,0.0,0.0
deepseek_formal,soc_gap_direction,canonical_lower,ED_avg_kw,37,70.06598017833973,204.3525695320296,0.0,0.0,0.0,0.0,0.0,282.4310520939732,500.0,1000.0,5,32,0,19.11100859995387,0.0,44.23447962773806,44.23447962773806,31.212607617101998,31.212607617101998,0.0,0.0
deepseek_formal,soc_gap_direction,canonical_lower,ED_per_soc_gap,37,22.646396396396398,67.19080821716273,0.0,0.0,0.0,0.0,0.0,72.49999999999999,168.66666666666634,306.6666666666667,5,32,0,4.771505376344087,0.0,14.756944444444445,14.756944444444445,8.607142857142858,8.607142857142858,0.0,0.0
deepseek_formal,soc_gap_direction,canonical_lower,soc_direction_net_energy_kwh,37,670.6081081081081,2376.399836397998,0.0,-2250.0,0.0,0.0,0.0,1624.9999999999943,5750.0,11500.0,4,32,1,131.0483870967742,0.0,369.7916666666667,369.7916666666667,216.07142857142858,216.07142857142858,-70.3125,0.0
deepseek_formal,soc_gap_direction,canonical_lower,terminal_alignment_kwh,37,-197.08837126600255,1288.5451661596842,0.0,-5212.5,0.0,0.0,0.0,0.0,178.0263157894713,2544.0789473684226,2,32,3,0.0,0.0,-273.2319078947366,-57.771381578947086,-306.4708646616541,88.07800751879729,-335.20250822368416,0.0
deepseek_formal,soc_gap_direction,canonical_lower,alignment_total_violation_energy,37,-9720.17958748222,53192.820015515725,0.0,-227015.625,0.0,0.0,0.0,0.0,20751.664473684068,47440.953947368485,3,32,2,0.0,0.0,-11307.988852339184,-3684.1949926900593,-12348.372180451133,2634.560150375939,-14120.5078125,0.0
deepseek_formal,event_family,battery_capacity_derating,ED_kwh,12,1355.2105625000002,3431.4522355692698,0.0,0.0,0.0,0.0,3.131687499999999,4501.252675000002,7812.499999999995,11250.0,3,9,0,501.252675,1.5658437499999995,455.68425,455.68425,1.2526749999999995,1.2526749999999995,0.0,0.0
deepseek_formal,event_family,battery_capacity_derating,ED_avg_kw,12,60.65297727272727,153.00261605203528,0.0,0.0,0.0,0.0,0.14074999999999996,204.60175454545464,349.99999999999983,500.0,3,9,0,22.783572727272727,0.07037499999999998,20.712338842975207,20.712338842975207,0.05629999999999998,0.05629999999999998,0.0,0.0
deepseek_formal,event_family,battery_capacity_derating,ED_per_soc_gap,12,24.315994513888892,66.04010425215968,0.0,0.0,0.0,0.0,0.031316874999999994,60.01252675000003,137.91666666666654,225.0,3,9,0,6.679193416666668,0.015658437499999997,6.071994015151517,6.071994015151517,0.012526749999999998,0.012526749999999998,0.0,0.0
deepseek_formal,event_family,battery_capacity_derating,soc_direction_net_energy_kwh,12,-655.7276311875,1693.3941059177878,0.0,-5625.0,-2024.9999999999998,0.0,0.0,0.0,2.8207915874999956,6.2684257500000005,1,9,2,-225.0,0.0,-715.9090909090909,-203.9755976590909,-787.5,0.6268425750000001,-1125.0,0.0
deepseek_formal,event_family,battery_capacity_derating,terminal_alignment_kwh,12,705.9774934868428,1797.7358193719078,0.0,0.0,0.0,0.0,1.6495857236844813,2290.330886921055,4063.717105263159,5921.052631578953,3,9,0,255.06772902631604,0.8247928618422407,231.87975366028732,231.87975366028732,0.6598342894737925,0.6598342894737925,0.0,0.0
deepseek_formal,event_family,battery_capacity_derating,alignment_total_violation_energy,12,22425.115131578936,71713.70321417603,0.0,0.0,0.0,0.0,0.0,17696.90131578933,123061.94407894713,249438.15789473688,2,10,0,1966.322368421036,0.0,1787.565789473669,1787.565789473669,0.0,0.0,0.0,0.0
deepseek_formal,event_family,export_limit_update,ED_kwh,12,1636.4583333333333,3886.220771452607,0.0,0.0,0.0,0.0,3.124999999999999,7313.750000000003,9643.749999999998,11500.0,3,9,0,813.75,1.5624999999999996,739.7727272727273,739.7727272727273,1.2499999999999996,1.2499999999999996,0.0,0.0
deepseek_formal,event_family,export_limit_update,ED_avg_kw,12,72.1431658229411,170.79832006566835,0.0,0.0,0.0,0.0,0.13736263736263732,328.7066304482036,425.8426966292134,500.0,3,9,0,36.57179898752933,0.06868131868131866,33.24708998866302,33.24708998866302,0.05494505494505493,0.05494505494505493,0.0,0.0
deepseek_formal,event_family,export_limit_update,ED_per_soc_gap,12,25.947916666666668,68.37200754489879,0.0,0.0,0.0,0.0,0.03124999999999999,73.13750000000003,148.1874999999999,230.0,3,9,0,8.1375,0.015624999999999995,7.3977272727272725,7.3977272727272725,0.012499999999999995,0.012499999999999995,0.0,0.0
