model_condition,stratum,level,metric,n,mean,std,median,min,p10,p25,p75,p90,p95,max,positive,zero,negative,trimmed_mean_10pct,trimmed_mean_20pct,mean_drop_largest_1,mean_drop_largest_abs_1,mean_drop_largest_2,mean_drop_largest_abs_2,mean_drop_largest_5,mean_drop_largest_abs_5
qwen37_plus_direct,season,autumn,ED_kwh,18,1995.5945322222224,3748.1421586191273,254.2583500000001,0.0,0.0,1.4210854715202004e-14,918.44497,9843.75,10237.5,10237.500000000002,12,6,0,1605.20009875,480.8917983333334,1510.7765635294118,1510.7765635294118,965.35634875,965.35634875,196.7262753846155,196.7262753846155
qwen37_plus_direct,season,autumn,ED_avg_kw,18,88.4532212345679,165.1909744353997,12.131811111111116,0.0,0.0,6.246529545143738e-16,41.22633999999999,436.0,450.0,450.00000000000006,12,6,0,71.38487388888889,21.84649851851852,67.18576366013072,67.18576366013072,43.25987388888889,43.25987388888889,9.13215247863248,9.13215247863248
qwen37_plus_direct,season,autumn,ED_per_soc_gap,18,26.958715985185183,54.16057306230002,3.8068280000000017,0.0,0.0,2.842170943040401e-16,17.189890000000002,98.43750000000001,117.73124999999986,204.75,12,6,0,17.531680483333336,6.781823977777779,16.500405160784315,16.500405160784315,11.133242983333334,11.133242983333334,3.02820674871795,3.02820674871795
qwen37_plus_direct,season,autumn,soc_direction_net_energy_kwh,18,1097.289803888889,2024.020992193815,260.78397499999994,-1701.0125000000003,-257.686625,148.08187499999997,1514.3421249999997,5000.625,5155.80975,5365.815000000002,14,0,4,1005.400873125,555.6789766666666,846.2000864705882,846.2000864705882,579.165716875,579.1657168749999,47.75861307692307,305.3972284615384
qwen37_plus_direct,season,autumn,terminal_alignment_kwh,18,-396.2126858216373,2120.7976915178206,-84.02679824999933,-4993.41325,-2772.3374999999996,-397.60845187500036,144.95982968750167,622.7834623750007,1991.9699062499953,4862.8125,6,0,12,-437.57672467434196,-174.33875341995596,-705.5671085170278,-125.78912322291013,-842.4994668618419,-437.57672467434196,-1086.3162180607285,-141.4579399838055
qwen37_plus_direct,season,autumn,alignment_total_violation_energy,18,-16111.894742489763,93388.78268675772,-150.22124999999633,-215980.46875,-121483.89687499998,-13049.1796875,3267.666932812481,22895.740131578998,83155.04687499977,220664.0625,7,0,11,-18418.606194675984,-5728.496444875,-30039.8922273421,-30039.8922273421,-35597.93236655099,-18418.606194675984,-45037.97651834615,-4713.214835755058
qwen37_plus_direct,season,spring,ED_kwh,18,1644.6888333333334,2852.9102444781865,256.875,-178.0,-1.5562500000001582,0.0,1277.5540000000005,6936.201,7469.733974999999,8970.0065,12,4,2,1300.7745312500003,565.9658333333334,1213.787794117647,1213.787794117647,839.3382812499999,839.3382812499999,285.5509615384616,285.5509615384616
qwen37_plus_direct,season,spring,ED_avg_kw,18,72.66477777777777,125.32395225577007,11.5,-8.0,-0.07500000000000687,0.0,56.7535,306.1872,325.41389999999996,394.286,12,4,2,57.605000000000004,25.459500000000002,53.74588235294118,53.74588235294118,37.52625,37.52625,12.803538461538464,12.803538461538464
qwen37_plus_direct,season,spring,ED_per_soc_gap,18,17.836033055555557,31.26621219781414,4.025,-2.3733333333333335,-0.031125000000003164,0.0,12.775540000000005,77.34487950000002,89.88707525,90.94679999999998,12,4,2,14.529695520833336,5.902417777777778,13.535399705882352,13.535399705882355,8.775108125000001,8.775108125000001,3.0299638461538456,3.0299638461538456
qwen37_plus_direct,season,spring,soc_direction_net_energy_kwh,18,1233.2907874999999,1549.2612652499504,481.80025,-174.10625000000005,42.23649000000005,86.115625,2250.57375,3518.5799999999995,3878.839993749999,4517.501624999998,16,0,2,1115.9899249999999,884.7446249999999,1040.101914705882,1040.1019147058823,869.7248468749999,869.724846875,350.0567346153846,350.0567346153847
