scenario_id,event_family,difficulty,model_condition,block_id,branch,objective_order,status,physical_cost_usd,distance_kwh,throughput_kwh,curtailment_kwh,retained_fraction,runtime_seconds,cost_optimum_usd,stage1_seconds,stage2_seconds
v2e2_4bc783ae8ece976241af,reserve_commitment_update,easy,qwen_flash,e2bv2_fcedc993c5aeb0f830da,C1,minimum_intervention_distance_only,global_distance_optimum_lp_integral_distance_focus,270.18164150795224,5476.250005124835,23.7501,0.0,0.0,0.019781834009336308,,,
v2e2_4bc783ae8ece976241af,reserve_commitment_update,easy,qwen_flash,e2bv2_fcedc993c5aeb0f830da,C1,direct_cost_optimal,optimal,265.50670848974346,5498.418421052631,456.3184210526316,0.0,0.03409090909090909,0.012362125009531155,,,
v2e2_4bc783ae8ece976241af,reserve_commitment_update,easy,qwen_flash,e2bv2_fcedc993c5aeb0f830da,C1,cost_then_distance,optimal,265.5067094897435,5498.4184163106565,456.31832852332275,0.0,0.03409090909090909,0.02403224998852238,-5.668660223947369,0.012354582984698936,0.009797874983632937
v2e2_1fd8536d13787e44dc17,battery_capacity_derating,easy,deepseek_formal,e2bv2_90a214c9f95f65c0e06e,C1,distance_throughput_cost_saved,feasible_mode_library_upper_bound,285.2203958101474,23.7501,23.7501,0.0,0.9777777777777777,0.022685625008307397,,,
v2e2_1fd8536d13787e44dc17,battery_capacity_derating,easy,deepseek_formal,e2bv2_90a214c9f95f65c0e06e,C1,minimum_intervention_distance_only,feasible_mode_library_upper_bound_distance_focus,285.2203958101474,23.7501,23.7501,0.0,0.9777777777777777,0.02273704099934548,,,
v2e2_1fd8536d13787e44dc17,battery_capacity_derating,easy,deepseek_formal,e2bv2_90a214c9f95f65c0e06e,C1,direct_cost_optimal,optimal,276.1876018921238,524.4078947368421,524.4078947368421,0.0,0.8888888888888888,0.014283458003774285,,,
v2e2_1fd8536d13787e44dc17,battery_capacity_derating,easy,deepseek_formal,e2bv2_90a214c9f95f65c0e06e,C1,cost_then_distance,optimal,276.18760289212383,524.4078123006724,524.4078123006724,0.0,0.8888888888888888,0.026042290992336348,-10.036109753289473,0.014401125023141503,0.00986766698770225
v2e2_1fd8536d13787e44dc17,battery_capacity_derating,easy,qwen37_plus_direct,qwen37f1_69544ce973d15392cd7a,C1,distance_throughput_cost_saved,global_distance_optimum_lp_integral,285.2203958101474,538.7500051248358,23.7501,0.0,0.03333333333333333,0.015412124979775399,,,
v2e2_1fd8536d13787e44dc17,battery_capacity_derating,easy,qwen37_plus_direct,qwen37f1_69544ce973d15392cd7a,C1,minimum_intervention_distance_only,global_distance_optimum_lp_integral_distance_focus,285.2203958101474,538.7500051248358,23.7501,0.0,0.03333333333333333,0.015774833009345457,,,
v2e2_1fd8536d13787e44dc17,battery_capacity_derating,easy,qwen37_plus_direct,qwen37f1_69544ce973d15392cd7a,C1,direct_cost_optimal,optimal,276.1876018921238,1024.407894736842,524.4078947368421,0.0,0.0,0.014283458003774285,,,
