scenario_id,event_family,difficulty,degradation_cost_per_kwh,terminal_tolerance_kwh,status,physical_cost_usd,throughput_kwh,runtime_seconds
v2e2_68ad1227a66cd68252f6,power_limit_derating,easy,0.0,0.0,optimal,487.1548742026785,708.6184210526316,0.01133466701139696
v2e2_68ad1227a66cd68252f6,power_limit_derating,easy,0.0,1.0,optimal,487.08882852117847,709.5684210526316,0.014246041013393551
v2e2_68ad1227a66cd68252f6,power_limit_derating,easy,0.008,0.0,optimal,489.48749045991536,157.89473684210526,0.010843916999874637
v2e2_68ad1227a66cd68252f6,power_limit_derating,easy,0.008,1.0,optimal,489.4151430914943,156.8421052631579,0.018718750012340024
v2e2_68ad1227a66cd68252f6,power_limit_derating,easy,0.02,0.0,optimal,491.3822273020206,157.89473684210526,0.010848249978153035
v2e2_68ad1227a66cd68252f6,power_limit_derating,easy,0.02,1.0,optimal,491.2972483546522,156.8421052631579,0.016109750024043024
v2e2_729fd4e9cb1879f64d23,forecast_revision,hard,0.0,0.0,optimal,497.63823335352447,1233.0263157894738,0.013480708003044128
v2e2_729fd4e9cb1879f64d23,forecast_revision,hard,0.0,1.0,optimal,497.59832167984024,1231.9736842105265,0.016179875005036592
v2e2_729fd4e9cb1879f64d23,forecast_revision,hard,0.008,0.0,optimal,505.3821600712876,381.9078947368421,0.012064583017490804
v2e2_729fd4e9cb1879f64d23,forecast_revision,hard,0.008,1.0,optimal,505.3338273449719,380.85526315789474,0.013563915999839082
v2e2_729fd4e9cb1879f64d23,forecast_revision,hard,0.02,0.0,optimal,507.9271045449719,131.57894736842104,0.015807916002813727
v2e2_729fd4e9cb1879f64d23,forecast_revision,hard,0.02,1.0,optimal,507.8661833765508,130.52631578947367,0.012769791996106505
v2e2_7778cc641046e1b0a2cd,forecast_revision,hard,0.0,0.0,optimal,421.6651406666468,833.7828947368421,0.01396629199734889
v2e2_7778cc641046e1b0a2cd,forecast_revision,hard,0.0,1.0,optimal,421.6305507508573,832.7302631578948,0.012946333008585498
v2e2_7778cc641046e1b0a2cd,forecast_revision,hard,0.008,0.0,optimal,424.6264586995415,358.1578947368421,0.015403917001094669
v2e2_7778cc641046e1b0a2cd,forecast_revision,hard,0.008,1.0,optimal,424.58344773112043,357.10526315789474,0.013231499993707985
v2e2_7778cc641046e1b0a2cd,forecast_revision,hard,0.02,0.0,optimal,426.75016570217304,157.89473684210526,0.011438041983637959
v2e2_7778cc641046e1b0a2cd,forecast_revision,hard,0.02,1.0,optimal,426.69583188112045,156.8421052631579,0.013009540998609737
v2e2_7b2e0628b0d7b7a4badd,power_limit_derating,medium,0.0,0.0,optimal,271.3871894312668,874.8684210526316,0.011471042002085596
v2e2_7b2e0628b0d7b7a4badd,power_limit_derating,medium,0.0,1.0,optimal,271.3187867712668,875.8184210526316,0.010083250002935529
v2e2_7b2e0628b0d7b7a4badd,power_limit_derating,medium,0.008,0.0,optimal,278.38613679968785,874.8684210526316,0.009293333016103134
v2e2_7b2e0628b0d7b7a4badd,power_limit_derating,medium,0.008,1.0,optimal,278.3253341396878,875.8184210526316,0.009943292010575533
v2e2_7b2e0628b0d7b7a4badd,power_limit_derating,medium,0.02,0.0,optimal,287.96199540495104,524.4078947368421,0.010406582994619384
v2e2_7b2e0628b0d7b7a4badd,power_limit_derating,medium,0.02,1.0,optimal,287.907560668109,523.3552631578948,0.009760833985637873
v2e2_7e727667efa4e288ccd0,export_limit_update,medium,0.0,0.0,optimal,444.45338281061527,1009.047783933518,0.014770000008866191
v2e2_7e727667efa4e288ccd0,export_limit_update,medium,0.0,1.0,optimal,444.4083282341153,1009.997783933518,0.01713358299457468
v2e2_7e727667efa4e288ccd0,export_limit_update,medium,0.008,0.0,optimal,452.0058199522358,732.3684210526316,0.012916124978801236
v2e2_7e727667efa4e288ccd0,export_limit_update,medium,0.008,1.0,optimal,451.9683653757358,733.3184210526316,0.016809249995276332
v2e2_7e727667efa4e288ccd0,export_limit_update,medium,0.02,0.0,optimal,457.1988508397359,381.9078947368421,0.017273166013183072
v2e2_7e727667efa4e288ccd0,export_limit_update,medium,0.02,1.0,optimal,457.152251176578,380.85526315789474,0.015214457991532981
v2e2_7f938d120000eec26457,battery_capacity_derating,easy,0.0,0.0,optimal,267.2855802597202,1104.1381578947369,0.007387375022517517
v2e2_7f938d120000eec26457,battery_capacity_derating,easy,0.0,1.0,optimal,267.2482998657202,1105.088157894737,0.017408458021236584
v2e2_7f938d120000eec26457,battery_capacity_derating,easy,0.008,0.0,optimal,271.8096665240623,358.1578947368421,0.013519458007067442
v2e2_7f938d120000eec26457,battery_capacity_derating,easy,0.008,1.0,optimal,271.77082006090444,357.10526315789474,0.018053583014989272
v2e2_7f938d120000eec26457,battery_capacity_derating,easy,0.02,0.0,optimal,276.10756126090445,358.1578947368421,0.014407417009351775
v2e2_7f938d120000eec26457,battery_capacity_derating,easy,0.02,1.0,optimal,276.05608321879913,357.10526315789474,0.01835379097610712
v2e2_8e9a9550f230c7b3cff3,forecast_revision,medium,0.0,0.0,optimal,286.2242101930198,708.6184210526316,0.012122832995373756
v2e2_8e9a9550f230c7b3cff3,forecast_revision,medium,0.0,1.0,optimal,286.1558075330198,709.5684210526316,0.01514870798564516
v2e2_8e9a9550f230c7b3cff3,forecast_revision,medium,0.008,0.0,optimal,291.8931575614409,708.6184210526316,0.012355374987237155
v2e2_8e9a9550f230c7b3cff3,forecast_revision,medium,0.008,1.0,optimal,291.83235490144085,709.5684210526316,0.01550799998221919
v2e2_8e9a9550f230c7b3cff3,forecast_revision,medium,0.02,0.0,optimal,299.51596516670406,358.1578947368421,0.01110995901399292
v2e2_8e9a9550f230c7b3cff3,forecast_revision,medium,0.02,1.0,optimal,299.46153042986185,357.10526315789474,0.01540908301831223
v2e2_90357feca5a42c2b5eee,forecast_revision,medium,0.0,0.0,optimal,177.524883236623,1209.2763157894738,0.017683915997622535
v2e2_90357feca5a42c2b5eee,forecast_revision,medium,0.0,1.0,optimal,177.50333058399144,1208.2236842105262,0.015228584001306444
v2e2_90357feca5a42c2b5eee,forecast_revision,medium,0.008,0.0,optimal,186.64645290767567,1009.0131578947369,0.019608167000114918
v2e2_90357feca5a42c2b5eee,forecast_revision,medium,0.008,1.0,optimal,186.61647920241248,1007.9605263157895,0.015219415974570438
v2e2_90357feca5a42c2b5eee,forecast_revision,medium,0.02,0.0,optimal,191.44923314254407,157.8947368421053,0.013918417011154816
v2e2_90357feca5a42c2b5eee,forecast_revision,medium,0.02,1.0,optimal,191.40745179517566,156.84210526315783,0.011229374998947605
v2e2_a015340abe1151fa1614,reserve_commitment_update,easy,0.0,0.0,optimal,205.23931168007726,640.5289473684211,0.010955041012493894
v2e2_a015340abe1151fa1614,reserve_commitment_update,easy,0.0,1.0,optimal,205.20105510407726,641.4789473684211,0.014112083008512855
