tier,scenario_id,block_id,model_condition,branch,gate_type,gate_status,battery_correction_l1_kwh,curtailment_introduced_kwh,sign_change_intervals,zero_to_active_intervals,post_gate_feasible,post_gate_cost_usd,runtime_seconds,rescue_mechanism,expanded_distance_reduction_kwh
F1,v2e2_1a991ca6b21c0ed79241,e2bv2_e2508c066e226a6c65b3,deepseek_formal,S1,battery_only,global_distance_optimum_lp_integral,26.315889473684212,0.0,0,2,True,358.3422228887643,0.016436167003121227,battery_action_and_mode_correction,0.0
F1,v2e2_1a991ca6b21c0ed79241,e2bv2_e2508c066e226a6c65b3,deepseek_formal,S1,expanded_system,global_distance_optimum_lp_integral,26.315889473684212,0.0,0,2,True,358.3422228887643,0.018267709005158395,battery_action_and_mode_correction,0.0
F1,v2e2_1a991ca6b21c0ed79241,e2bv2_e2508c066e226a6c65b3,deepseek_formal,S2,battery_only,global_distance_optimum_lp_integral,26.315889473684212,0.0,0,2,True,358.3422228887643,0.016436167003121227,battery_action_and_mode_correction,0.0
F1,v2e2_1a991ca6b21c0ed79241,e2bv2_e2508c066e226a6c65b3,deepseek_formal,S2,expanded_system,global_distance_optimum_lp_integral,26.315889473684212,0.0,0,2,True,358.3422228887643,0.018267709005158395,battery_action_and_mode_correction,0.0
F1,v2e2_1fd8536d13787e44dc17,e2bv2_90a214c9f95f65c0e06e,deepseek_formal,C1,battery_only,feasible_mode_library_upper_bound,23.7501,0.0,0,2,True,285.2203958101474,0.022685625008307397,expanded_curtailment_used_without_distance_reduction,0.0
F1,v2e2_1fd8536d13787e44dc17,e2bv2_90a214c9f95f65c0e06e,deepseek_formal,C1,expanded_system,feasible_mode_library_upper_bound,23.7501,367.38582175,0,2,True,283.46061772396496,0.02254837501095608,expanded_curtailment_used_without_distance_reduction,0.0
F1,v2e2_1fd8536d13787e44dc17,e2bv2_90a214c9f95f65c0e06e,deepseek_formal,C2,battery_only,feasible_mode_library_upper_bound,23.7501,0.0,0,2,True,285.2203958101474,0.022685625008307397,expanded_curtailment_used_without_distance_reduction,0.0
F1,v2e2_1fd8536d13787e44dc17,e2bv2_90a214c9f95f65c0e06e,deepseek_formal,C2,expanded_system,feasible_mode_library_upper_bound,23.7501,367.38582175,0,2,True,283.46061772396496,0.02254837501095608,expanded_curtailment_used_without_distance_reduction,0.0
F1,v2e2_1fd8536d13787e44dc17,e2bv2_90a214c9f95f65c0e06e,deepseek_formal,S1,battery_only,feasible_mode_library_upper_bound,23.7501,0.0,0,2,True,285.2203958101474,0.022685625008307397,expanded_curtailment_used_without_distance_reduction,0.0
F1,v2e2_1fd8536d13787e44dc17,e2bv2_90a214c9f95f65c0e06e,deepseek_formal,S1,expanded_system,feasible_mode_library_upper_bound,23.7501,367.38582175,0,2,True,283.46061772396496,0.02254837501095608,expanded_curtailment_used_without_distance_reduction,0.0
F1,v2e2_1fd8536d13787e44dc17,e2bv2_90a214c9f95f65c0e06e,deepseek_formal,S2,battery_only,feasible_mode_library_upper_bound,23.7501,0.0,0,2,True,285.2203958101474,0.022685625008307397,expanded_curtailment_used_without_distance_reduction,0.0
F1,v2e2_1fd8536d13787e44dc17,e2bv2_90a214c9f95f65c0e06e,deepseek_formal,S2,expanded_system,feasible_mode_library_upper_bound,23.7501,367.38582175,0,2,True,283.46061772396496,0.02254837501095608,expanded_curtailment_used_without_distance_reduction,0.0
F1,v2e2_20534de655a33fde87ca,e2bv2_1a5a7a43da5111b0cfaa,deepseek_formal,C1,battery_only,global_distance_optimum_lp_integral,184.21062631578948,0.0,0,4,True,299.270759815251,0.019391832989640534,battery_action_and_mode_correction,0.0
F1,v2e2_20534de655a33fde87ca,e2bv2_1a5a7a43da5111b0cfaa,deepseek_formal,C1,expanded_system,global_distance_optimum_lp_integral,184.21062631578948,0.0,0,4,True,299.270759815251,0.019123791018500924,battery_action_and_mode_correction,0.0
F1,v2e2_20534de655a33fde87ca,e2bv2_1a5a7a43da5111b0cfaa,deepseek_formal,C2,battery_only,global_distance_optimum_lp_integral,184.21062631578948,0.0,0,4,True,299.270759815251,0.019391832989640534,battery_action_and_mode_correction,0.0
F1,v2e2_20534de655a33fde87ca,e2bv2_1a5a7a43da5111b0cfaa,deepseek_formal,C2,expanded_system,global_distance_optimum_lp_integral,184.21062631578948,0.0,0,4,True,299.270759815251,0.019123791018500924,battery_action_and_mode_correction,0.0
F1,v2e2_20534de655a33fde87ca,e2bv2_1a5a7a43da5111b0cfaa,deepseek_formal,S1,battery_only,global_distance_optimum_lp_integral,184.21062631578948,0.0,0,4,True,299.270759815251,0.019391832989640534,battery_action_and_mode_correction,0.0
F1,v2e2_20534de655a33fde87ca,e2bv2_1a5a7a43da5111b0cfaa,deepseek_formal,S1,expanded_system,global_distance_optimum_lp_integral,184.21062631578948,0.0,0,4,True,299.270759815251,0.019123791018500924,battery_action_and_mode_correction,0.0
F1,v2e2_20534de655a33fde87ca,e2bv2_1a5a7a43da5111b0cfaa,deepseek_formal,S2,battery_only,global_distance_optimum_lp_integral,184.21062631578948,0.0,0,4,True,299.270759815251,0.019391832989640534,battery_action_and_mode_correction,0.0
F1,v2e2_20534de655a33fde87ca,e2bv2_1a5a7a43da5111b0cfaa,deepseek_formal,S2,expanded_system,global_distance_optimum_lp_integral,184.21062631578948,0.0,0,4,True,299.270759815251,0.019123791018500924,battery_action_and_mode_correction,0.0
F1,v2e2_25e030e6613f44a39649,e2bv2_51dca7ed1e43a2dc2f29,deepseek_formal,C1,battery_only,global_distance_optimum_lp_integral,157.89483684210526,0.0,0,4,True,193.75000024148463,0.018653125007404014,battery_action_and_mode_correction,0.0
